network,native_source,native_q,direct_llm_source,direct_llm_q,best_baseline_source,best_baseline_q,final_q,reduction_vs_best_baseline_percent,stage3_initial_q,stage3_improvement_percent,attempted_edits,accepted_edits,native_vs_direct,native_vs_all_baselines
faux_mesa,native_rank2,2.921811543448829,few_shot,3.5613020737765937,few_shot,3.5613020737765937,2.8757729424956162,19.249395785008655,2.921811543448829,1.5756868733179985,4,1,win,win
faux_dixon,native_rank3,3.5717827826120891,one_shot,3.9311030979801456,one_shot,3.9311030979801456,3.5717827826120891,9.1404449695730463,3.5717827826120891,0,4,0,win,win
kapferer,native_rank3,11.490457717458479,unconstrained,6.5827919028473589,unconstrained,6.5827919028473589,6.5827919028473589,0,6.5827919028473589,0,4,0,loss,loss
lazega,native_rank3,42.01865885898421,unconstrained,59.120835226633289,unconstrained,59.120835226633289,42.01865885898421,28.927494515410256,42.01865885898421,0,4,0,win,win
krackhardt,native_rank2,21.179018304126647,few_shot,23.155897024522915,null,16.158353578935429,16.158353578935429,0,16.158353578935429,0,4,0,win,loss
glasgow_s50,native_rank2,2.6944387170614945,,,random_k,13.312431456197512,1.6761558528029989,87.40909308477471,2.6944387170614945,37.792021685652443,4,1,not_comparable,win
manufacturing_emails,,,,,null,945.09592418884563,291.2470369473524,69.183335839975911,945.09592418884563,69.183335839975911,4,1,not_comparable,not_comparable
enron_emails,native_rank1,73.921108373242888,,,random_k,374.18271686900846,29.409664315904489,92.140293233746547,73.921108373242888,60.214795255221233,4,1,not_comparable,win
florentine,native_rank3,1.4501455547809137,one_shot,1.3518192382107057,random_k,1.3403979508588739,1.3173276405951782,1.7211537998035009,1.3403979508588739,1.7211537998035009,4,1,loss,loss
noordin_top,native_rank3,2.4771121802554243,one_shot,3.9066455158959119,one_shot,3.9066455158959119,2.4771121802554243,36.592348341404417,2.4771121802554243,0,4,0,win,win
caltech_36,native_rank3,65.804711077551417,one_shot,4969.9000000000033,one_shot,4969.9000000000033,65.804711077551417,98.675934906586633,65.804711077551417,0,4,0,win,win
email_eu_core,native_rank3,40.929782142852879,few_shot,40.019670000001547,few_shot,40.019670000001547,36.415414193048363,9.0062107132643625,40.019670000001547,9.0062107132643803,4,1,loss,loss
faux_magnolia,native_rank3,5.5361176355046204,,,null,127.9698747707462,5.5361176355046204,95.673889932749873,5.5361176355046204,0,4,0,not_comparable,win
college_msg,native_rank3,33.134861069035978,few_shot,47.629732470860034,few_shot,47.629732470860034,33.134861069035978,30.432401464131775,33.134861069035978,0,4,0,win,win
bitcoin_alpha,native_rank3,37.135592297484976,few_shot,35.682261196188534,few_shot,35.682261196188534,35.682261196188534,0,35.682261196188534,0,4,0,loss,loss
twitch_ru,,,unconstrained,29.195860124364756,unconstrained,29.195860124364756,23.15505901666511,20.690608469720782,29.195860124364756,20.690608469720772,4,1,not_comparable,not_comparable
