method,metric,cases,mean,ci_low,ci_high
one_shot,success,60,0.8,0.7,0.9
one_shot,stage2_exact_recovery,60,0.13333333333333333,0.05,0.21666666666666667
one_shot,stage3_exact_recovery,60,0.13333333333333333,0.05,0.21666666666666667
one_shot,mechanism_precision,60,0.4361111111111111,0.35555555555555557,0.5194444444444445
one_shot,mechanism_recall,60,0.7,0.5833333333333334,0.8166666666666667
one_shot,mechanism_f1,60,0.5255555555555556,0.43222222222222223,0.6127777777777778
one_shot,direction_accuracy_all_truth,60,0.7,0.5833333333333334,0.8166666666666667
few_shot,success,60,0.9666666666666667,0.9166666666666666,1.0
few_shot,stage2_exact_recovery,60,0.5,0.36666666666666664,0.6333333333333333
few_shot,stage3_exact_recovery,60,0.5,0.36666666666666664,0.6333333333333333
few_shot,mechanism_precision,60,0.6722222222222222,0.5722222222222222,0.7694444444444445
few_shot,mechanism_recall,60,0.7944444444444444,0.6888888888888889,0.8944444444444445
few_shot,mechanism_f1,60,0.7127777777777777,0.6122222222222222,0.8055555555555556
few_shot,direction_accuracy_all_truth,60,0.7944444444444444,0.6888888888888889,0.8944444444444445
forge,success,60,0.9666666666666667,0.9166666666666666,1.0
forge,stage2_exact_recovery,60,0.7333333333333333,0.6166666666666667,0.8333333333333334
forge,stage3_exact_recovery,60,0.7833333333333333,0.6833333333333333,0.8833333333333333
forge,mechanism_precision,60,0.8777777777777778,0.8111111111111111,0.9361111111111111
forge,mechanism_recall,60,0.9666666666666667,0.9166666666666666,1.0
forge,mechanism_f1,60,0.9077777777777778,0.8488888888888889,0.9555555555555556
forge,direction_accuracy_all_truth,60,0.9666666666666667,0.9166666666666666,1.0
